2026-03-18 13:32:00 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:32:10 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:32:30 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:32:40 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:33:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:33:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:33:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:33:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:34:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:34:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:34:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:34:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:35:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:35:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:35:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:35:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:36:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:36:11 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:36:31 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
2026-03-18 13:36:41 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 4 documents vào 'traffic-realtime'
2026-03-18 13:37:01 | INFO     | kafka_to_elasticsearch    | Bulk index thành công 1 documents vào 'traffic-realtime'
